date,stock_id,open,high,low,close,volume,turnover,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2025-05-20,2308,361.0,368.5,361.0,365.5,4476672,1634538598,0.0,0.0,0.0,0.0
2025-05-20,2344,18.15,18.8,17.95,18.55,120117574,2214382485,0.0,0.0,0.0,0.0
2025-05-20,2379,523.0,526.0,519.0,519.0,2229570,1161709931,0.0,0.0,0.0,0.0
2025-05-20,2383,677.0,684.0,672.0,676.0,2610393,1766994754,0.0,0.0,0.0,0.0
2025-05-20,2454,1330.0,1350.0,1315.0,1315.0,5952630,7911812063,0.0,0.0,0.0,0.0
2025-05-20,3035,183.0,187.0,182.0,182.0,4502005,829266709,0.0,0.0,0.0,0.0
2025-05-20,3293,860.0,867.0,858.0,867.0,1269274,1095424442,0.0,0.0,0.0,0.0
2025-05-20,3535,33.6,33.7,32.6,32.65,387638,12782557,0.0,0.0,0.0,0.0
2025-05-20,6231,232.0,232.5,222.5,226.0,933147,211067363,0.0,0.0,0.0,0.0
2025-05-20,6643,540.0,552.0,539.0,542.0,751081,410446434,0.0,0.0,0.0,0.0
2025-05-20,8358,53.0,53.4,52.3,52.6,719300,37913341,0.0,0.0,0.0,0.0
2025-05-20,8932,97.4,99.0,97.4,98.3,338448,33333974,0.0,0.0,0.0,0.0
2025-05-21,1519,475.0,479.0,467.0,479.0,3315620,1570872505,0.0,0.0,0.0,0.0
2025-05-21,2308,369.0,379.0,366.5,378.5,6573468,2462859297,0.0,0.0,0.0,0.0
2025-05-21,2344,18.6,18.7,18.1,18.15,76924224,1412658768,0.0,0.0,0.0,0.0
2025-05-21,2379,525.0,526.0,519.0,525.0,1336077,698664251,0.0,0.0,0.0,0.0
2025-05-21,2383,684.0,725.0,680.0,720.0,9676436,6841343551,0.0,0.0,0.0,0.0
2025-05-21,2454,1325.0,1345.0,1320.0,1340.0,4523644,6053389365,0.0,0.0,0.0,0.0
2025-05-21,3035,184.0,187.0,183.0,186.5,4161374,770954919,0.0,0.0,0.0,0.0
2025-05-21,3293,867.0,872.0,855.0,862.0,1529662,1315427572,0.0,0.0,0.0,0.0
2025-05-21,3535,32.55,33.2,32.5,32.55,344003,11245492,0.0,0.0,0.0,0.0
2025-05-21,6231,228.5,236.0,228.0,233.5,699641,162089973,0.0,0.0,0.0,0.0
2025-05-21,6643,543.0,553.0,542.0,547.0,448777,245421134,0.0,0.0,0.0,0.0
2025-05-21,8358,52.8,54.4,52.8,53.8,1533983,82349744,0.0,0.0,0.0,0.0
2025-05-21,8932,98.0,99.0,97.7,99.0,456745,44976731,0.0,0.0,0.0,0.0
2025-05-22,1519,478.0,488.5,472.0,474.0,6108991,2941583546,0.0,0.0,0.0,0.0
2025-05-22,2308,376.5,383.5,372.5,378.0,7088787,2678541656,0.0,0.0,0.0,0.0
2025-05-22,2344,18.1,18.15,17.7,17.85,49671190,886788594,0.0,0.0,0.0,0.0
2025-05-22,2379,520.0,531.0,518.0,528.0,1636192,858895670,0.0,0.0,0.0,0.0
2025-05-22,2383,712.0,723.0,711.0,714.0,4144141,2969018898,0.0,0.0,0.0,0.0
2025-05-22,2454,1325.0,1340.0,1320.0,1325.0,3388750,4503198930,0.0,0.0,0.0,0.0
2025-05-22,3035,184.5,185.0,181.5,183.0,2817905,514842331,0.0,0.0,0.0,0.0
2025-05-22,3293,861.0,861.0,844.0,848.0,1637787,1393820038,0.0,0.0,0.0,0.0
2025-05-22,3535,32.2,32.8,31.7,32.8,444448,14332941,0.0,0.0,0.0,0.0
2025-05-22,6231,232.5,232.5,226.0,230.5,388664,88985655,0.0,0.0,0.0,0.0
2025-05-22,6643,542.0,542.0,531.0,540.0,326845,175299813,0.0,0.0,0.0,0.0
2025-05-22,8358,53.2,54.9,53.2,54.3,2312417,125509444,0.0,0.0,0.0,0.0
2025-05-22,8932,98.5,99.7,98.5,99.0,254307,25238915,0.0,0.0,0.0,0.0
2025-05-23,1519,478.0,482.0,474.0,479.0,2526677,1206286300,0.0,0.0,0.0,0.0
2025-05-23,2308,378.0,380.5,372.0,373.5,5335463,2003262147,0.0,0.0,0.0,0.0
2025-05-23,2344,17.95,18.1,17.75,17.75,25656051,459197761,0.0,0.0,0.0,0.0
2025-05-23,2379,533.0,533.0,517.0,518.0,2453934,1277452728,0.0,0.0,0.0,0.0
2025-05-23,2383,721.0,728.0,696.0,710.0,5734837,4074273127,0.0,0.0,0.0,0.0
2025-05-23,2454,1335.0,1340.0,1310.0,1315.0,4462357,5879825325,0.0,0.0,0.0,0.0
2025-05-23,3035,184.5,185.5,182.5,182.5,2723609,500106477,0.0,0.0,0.0,0.0
2025-05-23,3293,858.0,866.0,842.0,842.0,1687772,1436983668,0.0,0.0,0.0,0.0
2025-05-23,3535,33.15,33.6,32.7,33.05,479597,15878585,0.0,0.0,0.0,0.0
2025-05-23,6231,233.0,233.0,225.5,225.5,392227,89352099,0.0,0.0,0.0,0.0
2025-05-23,6643,544.0,548.0,532.0,532.0,346966,186646791,0.0,0.0,0.0,0.0
2025-05-23,8358,54.4,55.0,53.8,54.5,1772806,96655177,0.0,0.0,0.0,0.0
2025-05-23,8932,99.8,102.0,99.8,101.5,1453123,146821368,0.0,0.0,0.0,0.0
2025-05-26,1519,481.5,482.5,465.0,465.5,3511833,1648277510,0.0,0.0,0.0,0.0
2025-05-26,2308,374.0,376.5,369.5,370.5,6228332,2320820359,0.0,0.0,0.0,0.0
2025-05-26,2344,17.75,17.8,17.3,17.45,35231583,616599141,0.0,0.0,0.0,0.0
2025-05-26,2379,520.0,531.0,518.0,530.0,3060261,1613080258,0.0,0.0,0.0,0.0
2025-05-26,2383,710.0,720.0,707.0,707.0,3466020,2470565002,0.0,0.0,0.0,0.0
2025-05-26,2454,1305.0,1305.0,1275.0,1280.0,7955667,10251122085,0.0,0.0,0.0,0.0
2025-05-26,3035,184.0,184.5,178.0,179.0,3975042,718827033,0.0,0.0,0.0,0.0
2025-05-26,3293,842.0,845.0,834.0,842.0,757157,636485282,0.0,0.0,0.0,0.0
2025-05-26,3535,33.2,33.6,32.7,33.15,343032,11420946,0.0,0.0,0.0,0.0
2025-05-26,6231,225.0,225.0,221.0,223.5,369684,82205125,0.0,0.0,0.0,0.0
2025-05-26,6643,532.0,532.0,521.0,525.0,317649,166936869,0.0,0.0,0.0,0.0
2025-05-26,8358,55.0,56.2,54.7,55.8,4612400,256601494,0.0,0.0,0.0,0.0
2025-05-26,8932,101.0,101.0,99.3,100.0,361726,36267694,0.0,0.0,0.0,0.0
2025-05-27,1519,471.5,481.5,470.5,475.0,4770847,2272539390,0.0,0.0,0.0,0.0
2025-05-27,2308,368.0,372.5,365.0,367.5,4586098,1686842836,0.0,0.0,0.0,0.0
2025-05-27,2344,17.45,17.65,17.2,17.35,26947034,470070644,0.0,0.0,0.0,0.0
2025-05-27,2379,525.0,529.0,519.0,521.0,3000033,1566278043,0.0,0.0,0.0,0.0
2025-05-27,2383,710.0,714.0,698.0,706.0,3706730,2613878720,0.0,0.0,0.0,0.0
2025-05-27,2454,1280.0,1290.0,1270.0,1280.0,6608314,8471750200,0.0,0.0,0.0,0.0
2025-05-27,3035,179.5,179.5,174.0,174.0,3812216,670292312,0.0,0.0,0.0,0.0
2025-05-27,3293,848.0,852.0,840.0,840.0,648057,547380915,0.0,0.0,0.0,0.0
2025-05-27,3535,33.6,33.8,32.15,32.35,463947,15267154,0.0,0.0,0.0,0.0
2025-05-27,6231,223.5,226.5,218.0,219.0,531573,117392004,0.0,0.0,0.0,0.0
2025-05-27,6643,528.0,529.0,512.0,512.0,321066,166384603,0.0,0.0,0.0,0.0
2025-05-27,8358,56.0,56.7,55.2,55.3,4685150,261594331,0.0,0.0,0.0,0.0
2025-05-27,8932,100.0,101.0,99.0,100.0,368635,36937519,0.0,0.0,0.0,0.0
2025-05-28,1519,482.0,488.0,468.5,470.0,4116072,1952608905,0.0,0.0,0.0,0.0
2025-05-28,2308,371.0,373.5,367.0,370.0,4245970,1569035085,0.0,0.0,0.0,0.0
2025-05-28,2344,17.8,18.05,17.3,17.4,48953278,865614407,0.0,0.0,0.0,0.0
2025-05-28,2379,531.0,540.0,528.0,539.0,4204836,2251141244,0.0,0.0,0.0,0.0
2025-05-28,2383,718.0,728.0,710.0,721.0,5294655,3806818954,0.0,0.0,0.0,0.0
2025-05-28,2454,1300.0,1305.0,1270.0,1280.0,8817184,11272137395,0.0,0.0,0.0,0.0
2025-05-28,3035,177.0,179.0,171.5,173.5,3637805,636483035,0.0,0.0,0.0,0.0
2025-05-28,3293,851.0,851.0,843.0,849.0,882494,747994324,0.0,0.0,0.0,0.0
2025-05-28,3535,32.8,33.1,31.8,31.85,331744,10690837,0.0,0.0,0.0,0.0
2025-05-28,6231,223.5,226.5,217.0,219.5,382291,84766673,0.0,0.0,0.0,0.0
2025-05-28,6643,525.0,527.0,517.0,520.0,324820,169389973,0.0,0.0,0.0,0.0
2025-05-28,8358,55.6,56.2,54.3,54.6,2062462,113649365,0.0,0.0,0.0,0.0
2025-05-28,8932,100.5,103.5,100.5,102.5,1823101,186951589,0.0,0.0,0.0,0.0
2025-05-29,1519,475.0,476.0,459.0,459.5,4676244,2162791971,0.0,0.0,0.0,0.0
2025-05-29,2308,373.0,381.5,372.5,374.0,13156731,4950371267,0.0,0.0,0.0,0.0
2025-05-29,2344,17.6,17.9,17.4,17.7,48955342,865736017,0.0,0.0,0.0,0.0
2025-05-29,2379,545.0,546.0,532.0,541.0,4677755,2529339486,0.0,0.0,0.0,0.0
2025-05-29,2383,742.0,766.0,742.0,749.0,10167639,7663963382,0.0,0.0,0.0,0.0
2025-05-29,2454,1285.0,1305.0,1260.0,1260.0,20205556,25707789050,0.0,0.0,0.0,0.0
