date,stock_id,buy,name,sell,foreign,investment_trust,dealer,dealer_self,dealer_hedging
2025-01-10,1519,1443645,Foreign_Investor,1784133,,,,,
2025-01-13,1519,1261542,Foreign_Investor,1029690,,,,,
2025-01-13,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-13,1519,0,Investment_Trust,112000,,,,,
2025-01-13,1519,71034,Dealer_self,73446,,,,,
2025-01-13,1519,9000,Dealer_Hedging,29843,,,,,
2025-01-14,1519,1074619,Foreign_Investor,1073485,,,,,
2025-01-14,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-14,1519,0,Investment_Trust,0,,,,,
2025-01-14,1519,21348,Dealer_self,23409,,,,,
2025-01-14,1519,7659,Dealer_Hedging,325,,,,,
2025-01-15,1519,27060,Dealer_self,20928,,,,,
2025-01-15,1519,3000,Investment_Trust,58000,,,,,
2025-01-15,1519,6415,Dealer_Hedging,5659,,,,,
2025-01-15,1519,1192293,Foreign_Investor,982801,,,,,
2025-01-15,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-16,1519,1239736,Foreign_Investor,467173,,,,,
2025-01-16,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-16,1519,0,Investment_Trust,0,,,,,
2025-01-16,1519,32715,Dealer_self,6460,,,,,
2025-01-16,1519,22742,Dealer_Hedging,3160,,,,,
2025-01-17,1519,6542,Dealer_Hedging,23779,,,,,
2025-01-17,1519,46351,Dealer_self,50922,,,,,
2025-01-17,1519,0,Investment_Trust,11000,,,,,
2025-01-17,1519,671426,Foreign_Investor,528490,,,,,
2025-01-17,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-20,1519,1059170,Foreign_Investor,446564,,,,,
2025-01-20,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-20,1519,0,Investment_Trust,259000,,,,,
2025-01-20,1519,8781,Dealer_self,17684,,,,,
2025-01-20,1519,15933,Dealer_Hedging,3619,,,,,
2025-01-21,1519,10258,Dealer_Hedging,9600,,,,,
2025-01-21,1519,17549,Dealer_self,15000,,,,,
2025-01-21,1519,30000,Investment_Trust,110,,,,,
2025-01-21,1519,1134337,Foreign_Investor,614364,,,,,
2025-01-21,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-22,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-22,1519,205884,Dealer_self,124125,,,,,
2025-01-22,1519,29112,Dealer_Hedging,32824,,,,,
2025-01-22,1519,4975129,Foreign_Investor,1934055,,,,,
2025-01-22,1519,125000,Investment_Trust,0,,,,,
2025-02-03,1519,25384,Dealer_Hedging,16933,,,,,
2025-02-03,1519,45519,Dealer_self,39073,,,,,
2025-02-03,1519,2271661,Foreign_Investor,2957697,,,,,
2025-02-03,1519,0,Foreign_Dealer_Self,0,,,,,
2025-02-03,1519,28000,Investment_Trust,0,,,,,
2025-02-04,1519,644000,Foreign_Investor,1047984,,,,,
2025-02-04,1519,0,Foreign_Dealer_Self,0,,,,,
2025-02-04,1519,97000,Investment_Trust,0,,,,,
2025-02-04,1519,15296,Dealer_self,17698,,,,,
2025-02-04,1519,7801,Dealer_Hedging,15064,,,,,
2025-02-05,1519,61000,Dealer_self,50723,,,,,
2025-02-05,1519,31000,Dealer_Hedging,5606,,,,,
2025-02-05,1519,0,Investment_Trust,0,,,,,
2025-02-05,1519,568040,Foreign_Investor,1027887,,,,,
2025-02-05,1519,0,Foreign_Dealer_Self,0,,,,,
2025-02-06,1519,628321,Foreign_Investor,733410,,,,,
2025-02-06,1519,0,Foreign_Dealer_Self,0,,,,,
2025-02-06,1519,0,Investment_Trust,0,,,,,
2025-02-06,1519,30010,Dealer_self,45671,,,,,
