date,stock_id,-,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,IncomeLossFromDiscontinuedOperation,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2024-06-30,1721,,,,602113000.0,-0.22,-40191000.0,,5736000.0,,,-40191000.0,,-40191000.0,,,,,,,49266000.0,-43530000.0,1698000.0,,,-43103000.0,,607849000.0,-2912000.0,-38493000.0,,427000.0,
2024-09-30,1721,,,,610705000.0,-0.11,-20394000.0,,37390000.0,,,-20394000.0,,-20394000.0,,,,,,,49147000.0,-11757000.0,2952000.0,,,-21379000.0,,648095000.0,-985000.0,-17442000.0,,-9622000.0,
2024-12-31,1721,,,,499359000.0,-0.21,-40915000.0,,-8866000.0,,,-40915000.0,,-40915000.0,,,,,,,42281000.0,-51147000.0,7170000.0,,,-45168000.0,,490493000.0,-4253000.0,-33745000.0,,5979000.0,
2025-03-31,1721,,,,501651000.0,-0.24,-43766000.0,,3259000.0,,,-43766000.0,,-43766000.0,,,,,,,47393000.0,-44134000.0,2010000.0,,,-43811000.0,,504910000.0,-45000.0,-41756000.0,,323000.0,
2025-06-30,1721,,,,436028000.0,-0.65,-119877000.0,,-50897000.0,,,-119877000.0,,-119877000.0,,,,,,,46710000.0,-97607000.0,-886000.0,,,-124839000.0,,385131000.0,-4962000.0,-120763000.0,,-27232000.0,
2023-09-30,2023,,,-67980000.0,17068799000.0,-0.02,-41893000.0,,1842316000.0,,,-117346000.0,,-117346000.0,,,,,-75453000.0,,1339949000.0,502367000.0,411120000.0,,,-89178000.0,,18911115000.0,28168000.0,293774000.0,,-591545000.0,
2023-12-31,2023,,,-146669000.0,16784336000.0,-0.46,-899145000.0,,1624231000.0,,,-1032329000.0,,-1032329000.0,,,,,-133184000.0,,1391487000.0,232744000.0,-294793000.0,,,-1049962000.0,,18408567000.0,-17633000.0,-1327122000.0,,-1282706000.0,
2024-03-31,2023,,,-82780000.0,17488972000.0,0.02,33851000.0,,2051642000.0,,,-56430000.0,,-56430000.0,,,,,-90281000.0,,1543671000.0,507971000.0,465926000.0,,,1297000.0,,19540614000.0,57727000.0,409496000.0,,-506674000.0,
2024-06-30,2023,,,-110403000.0,18212428000.0,-0.05,-90098000.0,,1663920000.0,,,-203129000.0,,-203129000.0,,,,,-113031000.0,,1370055000.0,293865000.0,138806000.0,,,-165415000.0,,19876348000.0,37714000.0,-64323000.0,,-459280000.0,
2024-09-30,2023,,,-98968000.0,15753633000.0,-0.38,-764356000.0,,984255000.0,,,-869071000.0,,-869071000.0,,,,,-104715000.0,,1202245000.0,-217990000.0,-16956000.0,,,-996971000.0,,16737888000.0,-127900000.0,-886027000.0,,-778981000.0,
2024-12-31,2023,,,-153503000.0,16619608000.0,-0.4,-775517000.0,,1207289000.0,,,-925533000.0,,-925533000.0,,,,,-150016000.0,,1450703000.0,-243414000.0,204801000.0,,,-912601000.0,,17826897000.0,12932000.0,-720732000.0,,-669187000.0,
